"variable_name","variable_type","variable_text"
"lab","character",NA
"modality","character",NA
"lab_modality","character",NA
"language","character",NA
"experiment","character",NA
"sub","character","Response ID"
"id_subject","logical","id_subject"
"id_internal","logical","id_internal"
"start_date","POSIXct","Start Date"
"end_date","POSIXct","End Date"
"total_duration","numeric","Duration (in seconds)"
"recorded_date","POSIXct","Recorded Date"
"age","numeric","Age"
"gender","numeric","Gender"
"national_identity.","numeric","Which country best describes your national identity?"
"ethnicity","character","What is your ethnicity?"
"education_level","numeric","Education level (highest level achieved)"
"education_subject","numeric","Education (primary subject area)"
"l_c_bif_01","numeric","1. Making a list"
"l_c_bif_07","numeric","2. Measuring a room for carpeting"
"l_c_bif_08","numeric","3. Cleaning the house"
"l_c_bif_09","numeric","4. Painting a room"
"l_c_bif_11","numeric","5. Caring for houseplants"
"l_c_bif_12","numeric","6. Locking a door"
"l_c_bif_18","numeric","7. Greeting someone"
"l_c_bif_22","numeric","8. Traveling by car"
"l_c_bif_25","numeric","9. Pushing a doorbell"
"l_c_bif_02","numeric","Reading"
"l_c_bif_03","numeric","Joining the Army"
"l_c_bif_04","numeric","Washing clothes"
"l_c_bif_05","numeric","Picking an apple"
"l_c_bif_06","numeric","Chopping down a tree"
"l_c_bif_10","numeric","Paying the rent"
"l_c_bif_13","numeric","Voting"
"l_c_bif_14","numeric","Climbing a tree"
"l_c_bif_15","numeric","Filling out a personality test"
"l_c_bif_16","numeric","Brushing teeth"
"l_c_bif_17","numeric","Taking a test"
"l_c_bif_19","numeric","Resisting temptation"
"l_c_bif_20","numeric","Eating"
"l_c_bif_21","numeric","Growing a garden"
"l_c_bif_23","numeric","Having a cavity filled"
"l_c_bif_24","numeric","Talking to a child"
"l_compcheck_c","numeric","You were previously asked to imagine helping your friend move. In the scenario, how likely was it that your friend was going to move?"
"l_d_bif_01","numeric","1. Making a list"
"l_d_bif_07","numeric","2. Measuring a room for carpeting"
"l_d_bif_08","numeric","3. Cleaning the house"
"l_d_bif_09","numeric","4. Painting a room"
"l_d_bif_11","numeric","5. Caring for houseplants"
"l_d_bif_12","numeric","6. Locking a door"
"l_d_bif_18","numeric","7. Greeting someone"
"l_d_bif_22","numeric","8. Traveling by car"
"l_d_bif_25","numeric","9. Pushing a doorbell"
"l_d_bif_02","numeric","Reading"
"l_d_bif_03","numeric","Joining the Army"
"l_d_bif__04","numeric","Washing clothes"
"l_d_bif_05","numeric","Picking an apple"
"l_d_bif_06","numeric","Chopping down a tree"
"l_d_bif_10","numeric","Paying the rent"
"l_d_bif_13","numeric","Voting"
"l_d_bif_14","numeric","Climbing a tree"
"l_d_bif_15","numeric","Filling out a personality test"
"l_d_bif_16","numeric","Brushing teeth"
"l_d_bif_17","numeric","Taking a test"
"l_d_bif_19","numeric","Resisting temptation"
"l_d_bif_20","numeric","Eating"
"l_d_bif_21","numeric","Growing a garden"
"l_d_bif_23","numeric","Having a cavity filled"
"l_d_bif_24","numeric","Talking to a child"
"l_compcheck_d","numeric","You were previously asked to imagine helping your friend move. In the scenario, how likely was it that your friend was going to move?"
"ahs_1","numeric","Please indicate to what extent you agree with the statements below. - Everything in the universe is somehow related to each other."
"ahs_2","numeric","Please indicate to what extent you agree with the statements below. - Even a small change in any element of the universe can lead to significant alterations in other elements."
"ahs_3","numeric","Please indicate to what extent you agree with the statements below. - Any phenomenon has numerous numbers of causes, although some of the causes are not known."
"ahs_4","numeric","Please indicate to what extent you agree with the statements below. - It is more desirable to take the middle ground than go to the extremes."
"ahs_5","numeric","Please indicate to what extent you agree with the statements below. - It is more important to find a point of compromise than to debate who is right/wrong, when one’s opinions conflict with other’s opinions."
"ahs_6","numeric","Please indicate to what extent you agree with the statements below. - We should avoid going to extremes."
"ahs_7","numeric","Please indicate to what extent you agree with the statements below. - Every phenomenon in the world moves in predictable directions."
"ahs_8","numeric","Please indicate to what extent you agree with the statements below. - A person who is currently living a successful life will continue to stay successful."
"ahs_9","numeric","Please indicate to what extent you agree with the statements below. - Future events are predictable based on present situations."
"ahs_10","numeric","Please indicate to what extent you agree with the statements below. - The whole, rather than its parts, should be considered in order to understand a phenomenon."
"ahs_11","numeric","Please indicate to what extent you agree with the statements below. - It is important to pay attention to the whole rather than its parts."
"ahs_12","numeric","Please indicate to what extent you agree with the statements below. - It is more important to pay attention to the whole context rather than the details."
"panas_1","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - interested"
"panas_2","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - distressed"
"panas_3","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - excited"
"panas_4","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - upset"
"panas_5","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - strong"
"panas_6","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - guilty"
"panas_7","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - scared"
"panas_8","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - hostile"
"panas_9","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - enthusiastic"
"panas_10","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - proud"
"panas_11","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - irritable"
"panas_12","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - alert"
"panas_13","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - ashamed"
"panas_14","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - inspired"
"panas_15","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - nervous"
"panas_16","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - determined"
"panas_17","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - attentive"
"panas_18","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - jittery"
"panas_19","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - active"
"panas_20","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - afraid"
"t_mancheck_c","numeric","As a final question, we are interested in how people perceive temporal distances. Events can feel closer or more distant in time from the present moment. When events feel like they will happen soon, they are said to be temporally close. In contrast, when events feel like they will not happen for a long time, they are said to be temporally distant.

To what extent does something taking place tomorrow feel temporally close or distant?"
"t_mancheck_d","numeric","As a final question, we are interested in how people perceive temporal distances. Events can feel closer or more distant in time from the present moment. When events feel like they will happen soon, they are said to be temporally close. In contrast, when events feel like they will not happen for a long time, they are said to be temporally distant.

To what extent does something taking place next year feel temporally close or distant?"
"sp_mancheck_c","numeric","As a final task, please take a moment and imagine that you have moved to a new place just outside of Springfield, just under 3 miles away. 

Places can feel close to or far away from ourselves in a psychological sense. Places that feel like they are close to where you are, are said to be “spatially close”. In contrast, places that feel like they are very far away, are said to be “spatially distant”.

To what extent does a place located outside of Springfield, just under 3 miles away, feel spatially close or distant?"
"sp_mancheck_d","numeric","As a final task, please take a moment and imagine that you have moved to a new place just outside of Los Angeles, over 1930 miles away.  

Places can feel close to or far away from ourselves in a psychological sense. Places that feel like they are close to where you are, are said to be “spatially close”. In contrast, places that feel like they are very far away, are said to be “spatially distant”.

To what extent does a place located outside of Los Angeles, over 1930 miles away, feel spatially close or distant?"
"Female.young","numeric","Click to write the question text"
"Female.old","numeric","Click to write the question text"
"Male.young","numeric","Click to write the question text"
"Male.old","numeric","Click to write the question text"
"Unisex","numeric","Click to write the question text"
"so_mancheck_c","numeric","As a final question, we are interested in how people form impressions of others based on minimal information. Below is a brief description of a person. Please read the description and try to imagine the described person. We realize that it is not possible to form an accurate impression based on so little information. But here we are interested in your own subjective perception and the type of person that you spontaneously imagine when reading the description. In other words, there are no correct or incorrect answers.

[Field-name_pipe] is [Field-gender_pipe] aged [Field-age_pipe]. [Field-name_pipe] has an educational background that is similar to yours and [Field-pronoun_pipe] shares several of your personal interests. In other words, [Field-name_pipe] is a person with whom you have a lot in common.

People can feel close to or far away from ourselves in a psychological sense. When a person feels psychologically close to ourselves, they are said to be ""socially close"". In contrast, when a person feels psychologically removed from ourselves, they are said to be ""socially distant"".

To what extent do you feel socially close or socially distant to [Field-name_pipe]?"
