SoderbergID,AdlerID,citation,dv,year,study,included,exclusion_coarse,exclusion_fine,brief_reason,distance,citations
4,NA,"Amit, E., Algom, D., & Trope, Y. (2009). Distance-dependent processing of pictures and words. Journal of Experimental Psychology: General, 138, 400-415.",reaction time to pictures,2009,1,0,2,4,"questionable manipulation of social distance (e.g., pictures of foriegn vs. own currency)",2,182
5,NA,"Amit., E., Algom, D., & Trope, Y. (2009). Distance-dependent processing of pictures and words. Journal of Experimental Psychology: General, 138, 400-415",reaction time PICTURES/Words,2009,2,0,1,1,"Unclear whether DV measures abstraction, especially given failed replication of Amit et al (2013, Exp 2) see Luke et al. (2022)",0,182
6,NA,"Amit., E., Algom, D., & Trope, Y. (2009). Distance-dependent processing of pictures and words. Journal of Experimental Psychology: General, 138, 400-415",reaction time (PICTURES CONGRUENT),2009,7,0,2,4,Not a clean manipulation of spatial distance - religious vs. non religious items.,1,182
7,NA,"Amit, E., Wakslak, C., & Trope, Y. (2013). The use of visual and verbal means of communication across psychological distance. Personality and Social Psychological Bulletin",sign choice (between a word vs. picture sign),2013,1,0,1,1,"Unclear whether DV measures abstraction, especially given failed replication of Amit et al (2013, Exp 2) see Luke et al. (2022)",0,62
8,NA,"Amit, E., Wakslak, C., & Trope, Y. (2013). The use of visual and verbal means of communication across psychological distance. Personality and Social Psychological Bulletin",preference for text cards,2013,,0,1,4,DV not a direct measure of abstraction; confounded experimental design - see Luke et al. (2022),2,62
9,NA,"Amit, E., Wakslak, C., & Trope, Y. (2013). The use of visual and verbal means of communication across psychological distance. Personality and Social Psychological Bulletin",area devoted to medium,2013,3,0,1,1,"Unclear whether DV measures abstraction, especially given failed replication of Amit et al (2013, Exp 2) see Luke et al. (2022)",0,62
10,NA,"Amit, E., Wakslak, C., & Trope, Y. (2013). The use of visual and verbal means of communication across psychological distance. Personality and Social Psychological Bulletin",words /pictures selected from list to use in self-presentation,2013,4,0,1,1,"Unclear whether DV measures abstraction, especially given failed replication of Amit et al (2013, Exp 2) see Luke et al. (2022)",0,62
11,NA,"Amit, E., Wakslak, C., & Trope, Y. (2013). The use of visual and verbal means of communication across psychological distance. Personality and Social Psychological Bulletin",percentage time choice to use words,2013,5,0,1,1,"Unclear whether DV measures abstraction, especially given failed replication of Amit et al (2013, Exp 2) see Luke et al. (2022)",1,62
12,NA,Bar-Anan (2009). The effect of temporal distance on the behavior identification form: a replication. Unpublished data.,BIF (altered version),2009,1,0,2,7,"Study not found, effect not in predicted direction",0,
13,NA,"Burrus, J. & Roese, N. (2006). Long Ago It Was Meant to Be: The Interplay Between Time, Construal, and Fate Beliefs. Personality and Social Psychology Bulletin, 32: 1050.",CL of event (semantic differential scale),2006,2,1,NA,NA,,0,68
14,NA,"Carter, S. E. & Sanna, L. J. (2008). It's not just what you say but when you say it: Self-presentaiton and temporal construal. Journal of Experimental Social Psychology, 44, 1339-1345.",number of statements listed,2008,1,0,3,5,DV requires manual coding unsuitable for multi-lab project.,0,29
16,NA,"Christian, B. M., Miles, L. K., Fung, F. H. K., Best, S., & Macrae, C. N. (2013). The shape of things to come: Exploring goal-directed prospection. Consciousness and Cognition, 22, 471-478.",compositional complexity,2013,1,0,2,4,"Not a clean manipulation of temporal. egypt-focused stimuli in a temporal study, will manipulate spatial distance too",0,33
