StartDate,EndDate,Status,Duration (in seconds),Finished,RecordedDate,ResponseId,name,granted_credit
12/09/2023 21:58,12/09/2023 21:59,IP Address,54,TRUE,12/09/2023 21:59,R_DGduXCI9EtKTYTT,Subject 39,1
12/09/2023 22:03,12/09/2023 22:04,IP Address,74,TRUE,12/09/2023 22:04,R_3NE7ysBfK2FryuN,Subject 39,1
13/09/2023 1:08,13/09/2023 1:09,IP Address,39,TRUE,13/09/2023 1:09,R_3NIAZgREQnlaq85,Subject 57,1
13/09/2023 1:43,13/09/2023 1:55,IP Address,694,TRUE,13/09/2023 1:55,R_2zFHlS2w9PWLXNM,Subject 53,1
13/09/2023 4:50,13/09/2023 4:52,IP Address,115,TRUE,13/09/2023 4:52,R_0SrQSQFK2Be6c7f,Subject 139,1
13/09/2023 16:42,13/09/2023 16:43,IP Address,63,TRUE,13/09/2023 16:43,R_3z95AZA102PHX21,Subject 3,1
13/09/2023 17:18,13/09/2023 17:19,IP Address,60,TRUE,13/09/2023 17:19,R_0ptArVivj03Z9jX,Subject 58,1
13/09/2023 17:19,13/09/2023 17:20,IP Address,45,TRUE,13/09/2023 17:20,R_239rBiAg6zD0C1n,Subject 92,1
13/09/2023 17:32,13/09/2023 17:33,IP Address,81,TRUE,13/09/2023 17:33,R_2PAlrq5iPxwSQ3R,Subject 87,1
13/09/2023 18:51,13/09/2023 18:51,IP Address,39,TRUE,13/09/2023 18:51,R_1F38uMeZU1FcuS7,Subject 45,1
13/09/2023 19:04,13/09/2023 19:07,IP Address,192,TRUE,13/09/2023 19:07,R_3J8cfhWoicZt7d9,Subject 48,1
13/09/2023 19:15,13/09/2023 19:16,IP Address,78,TRUE,13/09/2023 19:16,R_3LXQfvgSCfWU4ml,Subject 81,1
13/09/2023 19:24,13/09/2023 19:26,IP Address,114,TRUE,13/09/2023 19:26,R_2scDncPQ6SKFNiT,Subject 119,1
13/09/2023 19:29,13/09/2023 19:31,IP Address,93,TRUE,13/09/2023 19:31,R_1E7g3sTADpTfC63,Subject 20,1
13/09/2023 19:59,13/09/2023 20:00,IP Address,38,TRUE,13/09/2023 20:00,R_3nvFk6d9e1CtVlz,Subject 107,1
13/09/2023 20:14,13/09/2023 20:15,IP Address,51,TRUE,13/09/2023 20:15,R_ptq2svaYqBwjB2F,Subject 96,1
13/09/2023 21:01,13/09/2023 21:02,IP Address,92,TRUE,13/09/2023 21:02,R_2fkzV8sT0ozLBOX,Subject 11,1
13/09/2023 21:12,13/09/2023 21:13,IP Address,57,TRUE,13/09/2023 21:13,R_2yqO4D0r7EZGngD,Subject 75,1
13/09/2023 21:20,13/09/2023 21:22,IP Address,92,TRUE,13/09/2023 21:22,R_1Ic4Zvc740SkS2z,Subject 113,1
13/09/2023 21:21,13/09/2023 21:22,IP Address,70,TRUE,13/09/2023 21:22,R_3dWA5di6GAcpwM2,Subject 16,1
13/09/2023 21:29,13/09/2023 21:30,IP Address,29,TRUE,13/09/2023 21:30,R_3sbqGFTlxZh7aAO,Subject 98,1
13/09/2023 21:29,13/09/2023 21:30,IP Address,43,TRUE,13/09/2023 21:30,R_12ifp4pwkITq2kH,Subject 41,1
13/09/2023 22:18,13/09/2023 22:18,IP Address,48,TRUE,13/09/2023 22:18,R_1mhfq8yJ8TFrPYb,Subject 4,1
13/09/2023 22:22,13/09/2023 22:23,IP Address,65,TRUE,13/09/2023 22:23,R_10NmZHaE5ZcAGRP,Subject 77,1
13/09/2023 22:26,13/09/2023 22:26,IP Address,18,TRUE,13/09/2023 22:26,R_1eOAHMtqHDiuVvN,Subject 36,1
13/09/2023 22:45,13/09/2023 22:45,IP Address,30,TRUE,13/09/2023 22:45,R_31ylKGRNGMbq5xE,Subject 12,1
13/09/2023 22:46,13/09/2023 22:47,IP Address,39,TRUE,13/09/2023 22:47,R_2P5ccAa4jJ3sIeq,Subject 1,1
13/09/2023 22:50,13/09/2023 22:54,IP Address,193,TRUE,13/09/2023 22:54,R_1FkTWouqGVQh3W3,Subject 71,1
