StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,id_subject,id_internal,distance
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Experimenter: Please enter the participant's ID number.,id_internal,distance
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""id_internal""}","{""ImportId"":""distance""}"
2024-03-12 10:34:36,2024-03-12 10:35:54,0,100,78,1,2024-03-12 10:35:55,R_1TxXggtbzKDZ7KV,anonymous,EN,001,11572,temporal
2024-03-12 10:36:01,2024-03-12 10:36:25,0,100,23,1,2024-03-12 10:36:26,R_2Qrs51qQZBweDoY,anonymous,EN,003,55471,likelihood
2024-03-12 10:35:26,2024-03-12 10:37:10,0,100,103,1,2024-03-12 10:37:10,R_1jedD8UzB664gsV,anonymous,EN,002,37766,social
2024-03-12 10:36:53,2024-03-12 10:37:56,0,100,62,1,2024-03-12 10:37:56,R_2Eg3QdtU02VkYQZ,anonymous,EN,027,70094,spatial
2024-03-12 10:38:01,2024-03-12 10:38:58,0,100,57,1,2024-03-12 10:38:59,R_8v1A83BInDoK0Cw,anonymous,EN,004,13021,temporal
2024-03-12 10:38:39,2024-03-12 10:40:01,0,100,82,1,2024-03-12 10:40:02,R_2jPVzXs300ELdjH,anonymous,EN,5,61331,spatial
2024-03-12 10:38:51,2024-03-12 10:40:16,0,100,85,1,2024-03-12 10:40:16,R_7taoIK3ZsCbCiBo,anonymous,EN,028,95769,social
2024-03-12 11:33:05,2024-03-12 11:36:02,0,100,177,1,2024-03-12 11:36:03,R_8gcngDEAuyIrqF3,anonymous,EN,006,72461,likelihood
2024-03-12 12:56:12,2024-03-12 13:00:19,0,100,247,1,2024-03-12 13:00:20,R_7v5fdEvPJBc0ObL,anonymous,EN,007,97983,social
2024-03-12 12:55:22,2024-03-12 13:01:21,0,100,358,1,2024-03-12 13:01:21,R_5HplZD9r2DvQBvW,anonymous,EN,9,47509,likelihood
2024-03-12 12:57:24,2024-03-12 13:02:20,0,100,296,1,2024-03-12 13:02:21,R_22RoXt4SEPrcfnP,anonymous,EN,008,57207,spatial
2024-03-12 12:56:48,2024-03-12 13:06:14,0,100,566,1,2024-03-12 13:06:15,R_1ghgLBsvjjogU1R,anonymous,EN,010,89742,temporal
