lab_id,country,female_old_1,female_old_2,female_old_3,female_old_4,female_old_5,female_old_6,female_young_1,female_young_2,female_young_3,female_young_4,female_young_5,female_young_6,male_old_1,male_old_2,male_old_3,male_old_4,male_old_5,male_old_6,male_young_1,male_young_2,male_young_3,male_young_4,male_young_5,male_young_6,unisex_1,unisex_2,unisex_3,unisex_4,unisex_5,unisex_6,,source,,
GB_02,United Kingdom,Susan,Julie,Karen,Jacqueline,Deborah,Tracey,Rebecca,Lauren,Jessica,Charlotte,Hannah,Sophie,David,Paul,Andrew,Mark,John,Michael,Thomas,James,Jack,Daniel,Matthew,Ryan,Alex,Ali,Charlie,Chris,Jesse,Robin,thomas.evans@greenwich.ac.uk,English,"Baby records of 1964: https://www.babymed.com/baby-names/top-100-baby-names-england-and-wales-1964

Baby records of 1994: https://www.babymed.com/baby-names/top-100-baby-names-england-and-wales-1994

Unisex names picked for best sex balance from generic lists: https://www.ukbabynames.com/unisex-names",GB_02
GB_01,England,Susan,Karen,Deborah,Helen,Diane,Sharon,Rebecca,Sophie,Emily,Hannah,Amy,Emma,Paul,Andrew,Stephen,Richard,Robert,Ian,Ryan,Joshua,Luke,Samuel,Matthew,Jordan,Alex,Jamie,Charlie,Max,Harper,Jesse,janina.steinmetz@city.ac.uk,English,"I googled English female names in 60s in the UK, etc.",GB_01
TR_07,Turkey/İstanbul,Hayriye,Nezahat,Fazilet,Nebahat,Türkan,Gülizar,Merve,Elif,Naz,Bilge,Selin,Ceren,Mazhar,Faik,Ferruh,Dursun,Hitami,Sadık,Batuhan,Efe,Cenk,Alican,Enes,Burak,Deniz,Fikret,Ferhan,Meriç,Ömür,Hidayet,nihanalbay@gmail.com,Turkish,I googled and then discussed the names I found with my husband to generate the final list of names.,GB_05
IT_01,"Italy (Chieti, Abruzzo)",Maria,Giuseppina,Pina,Rosa,Annamaria,Rosalia,Sofia,Aurora,Giulia,Giorgia,Martina,Alice,Antonio,Gabriele,Michele,Giuseppe,Luca,Luciano,Francesco,Alessandro,Leonardo,Andrea,Lorenzo,Mattia,Andrea,Alex,Diamante,Fiore,Elia,Celeste,antonio.aquino@unich.it,Italian,"For young names, I used data from the Italian Institute of Statistics (ISTAT, https://www.istat.it/it/archivio/264643) by considering different years of reference to sum up the spreading recent years. For the older names, I used a sample of names myself given the absence of statistics before 2000.",IT_01
NL_01,The Netherlands,Bep,Mien,Corrie,Greet,Neeltje,Alie,Sanne,Lotte,Sophie,Femke,Jasmijn,Lieke,Jan,Piet,Henk,Willem,Klaas,Gerrit,Tim,Daan,Milan,Jesse,Tygo,Sem,Marijn,Bo,Jamie,Francis,Charlie,Dominique,h.j.e.greijdanus@rug.nl,English,The names are selected from lists available at the Meertens Instituut (https://www.meertens.knaw.nl/nvb/; used for younger and older male and female names) and a bachelor thesis on unisex names at Utrecht Universitu (https://studenttheses.uu.nl/bitstream/handle/20.500.12932/30373/Scriptie-Eind-SteffiHarte-6Juni.pdf?sequence=2&isAllowed=y).,NL_01
NL_02,Netherlands,Yvonne,Wilhelmina,Cornelia,Monique,Ingrid,Johanna,Vanessa,Nathalie,Marieke,Linda,Laura,Sanne,Jan,Henk,Willem,Peter,Robert,Ronald,Dennis,Mark,Tim,Jeroen,Robin,Kevin,Bo,Jip,Sam,Noa,Lou,Charlie,s.wiechert@uva.nl,English,"We used this webpage: https://nbremer.github.io/babynamesnl/, and tried to exclude doubles and added on from experience.",NL_02
TR_02,Turkey,Fatma,Ayşe,Emine,Hatice,Zeynep,Meryem,Ece,Öykü,Hazal,İrem,Burcu,Gizem,Mehmet,Mustafa,Ahmet,Ali,Hüseyin,İbrahim,Burak,Tolga,Yiğit,Özgür,Görkem,Gökhan,Deniz,Evrim,Doğa,Uğur,Derya,Armağan,fsonmez.phd@gmail.com,Turkish,"I relied on name statistics to select the names for older men and women, but I relied on my personal experience to suggest the names for younger men and women because there was not a big difference between the popular male and female names until the 2000s, the most popular names were usually the most traditional names. So when choosing the names for young men and women, I tried to choose names that are not associated with the elderly and are also not unique to the 2000s and after. But I should note that the younger names I suggested usually hint at a certain social class and worldview because, as I said, traditional names were as popular in the 90s as they were in the past.

Regarding unisex names, it is not very common in Turkey to give such names, with one exception. Deniz is the most popular unisex name, I am sure other labs from Turkey will come up with this name at the top of the list. However, the other names I have listed are either predominantly male or female.",TR_02
US_11,"USA, Ohio",Lisa,Mary,Karen,Kimberly,Susan,Patricia,Jessica,Ashley,Emily,Samantha,Sarah,Taylor,Robert,Mark,Richard,Thomas,Jeffrey,Timothy,Matthew,Jacob,Joshua,Nicholas,Tyler,Brandon,Casey,Riley,Jessie,Jackie,Avery,Jamie,davisw4@wittenberg.edu,English,"We searched for the top 20 popular names for males and females in 1965 and 1995 on the United States Social Security Administration website (https://www.ssa.gov/oact/babynames/). We selected the 6 most popular names for male and females in each year, but only those that were not also represented in the lists for both years (i.e., names that were unique to that year in the lists).

To identify unisex names, we used data from the United States Social Security Administration as analyzed by FiveThirtyEight (https://fivethirtyeight.com/features/there-are-922-unisex-names-in-america-is-yours-one-of-them/). We selected the top 6 most common unisex names from the list.",US_11
AU_02,Australia,Gladys,Doris,Mavis,Mildred,Agatha,Gwen,Charlotte,Mia,Emma,Amelia,Maddison,Isabella,Bernard,Charles,Albert,Clifford,Graham,Harold,Matthew,Michael,Ollie,Nick,Chris,David,Shannon,Alex,Kai,Harper,Andie,Billie,joel.anderson@acu.edu.au,English,"There were records available (except for the unisex names, which I got from a website called '100 cool unisex names' and had a .com.au (so Australian).",AU_02
RS_01,Serbia,Radmila,Ljubica,Dragica,Zorica,Mirjana,Ljiljana,Andjela,Teodora,Una,Sofija,Dunja,Tara,Dragan,Goran,Zoran,Miodrag,Slobodan,Dušan,Luka,Vuk,Filip,Nikola,Marko,Aleksa,Saša,Vanja,Brana,Minja,Mateja,Vladica,jokic.bi@gmail.com,Serbian,"Publication of the Statistical Office of the Republic of Serbia (2011)
https://pod2.stat.gov.rs/ObjavljenePublikacije/Popis2011/Najcesca%20imena%20i%20pezimena.pdf 

In addition to the above publication, we also used recent reports of the Statistical Office of the Republic of Serbia available here: https://www.stat.gov.rs/sr-latn/oblasti/stanovnistvo/eksel-tabele/",RS_01
