Item,Close,Distant
1,"0.460 [0.434, 0.486]","0.362 [0.337, 0.387]"
2,"0.579 [0.554, 0.604]","0.420 [0.395, 0.445]"
3,"0.481 [0.455, 0.507]","0.524 [0.498, 0.550]"
4,"0.264 [0.241, 0.287]","0.325 [0.301, 0.349]"
5,"0.408 [0.383, 0.433]","0.427 [0.402, 0.452]"
6,"0.323 [0.299, 0.347]","0.339 [0.315, 0.363]"
7,"0.507 [0.481, 0.533]","0.424 [0.399, 0.449]"
8,"0.284 [0.261, 0.307]","0.274 [0.251, 0.297]"
9,"0.435 [0.410, 0.460]","0.339 [0.315, 0.363]"
10,"0.582 [0.557, 0.607]","0.508 [0.482, 0.534]"
11,"0.174 [0.155, 0.193]","0.185 [0.165, 0.205]"
12,"0.459 [0.433, 0.485]","0.399 [0.374, 0.424]"
13,"0.413 [0.388, 0.438]","0.371 [0.346, 0.396]"
14,"0.393 [0.368, 0.418]","0.314 [0.290, 0.338]"
15,"0.420 [0.395, 0.445]","0.297 [0.274, 0.320]"
16,"0.435 [0.410, 0.460]","0.369 [0.344, 0.394]"
17,"0.343 [0.319, 0.367]","0.292 [0.269, 0.315]"
18,"0.470 [0.444, 0.496]","0.350 [0.326, 0.374]"
19,"0.447 [0.421, 0.473]","0.314 [0.290, 0.338]"
20,"0.510 [0.484, 0.536]","0.385 [0.360, 0.410]"
21,"0.363 [0.338, 0.388]","0.356 [0.331, 0.381]"
22,"0.579 [0.554, 0.604]","0.504 [0.478, 0.530]"
23,"0.303 [0.279, 0.327]","0.276 [0.253, 0.299]"
24,"0.442 [0.417, 0.467]","0.392 [0.367, 0.417]"
25,"0.565 [0.540, 0.590]","0.529 [0.503, 0.555]"
