Item,Close,Distant
1,"0.550 [0.525, 0.575]","0.557 [0.532, 0.582]"
2,"0.606 [0.581, 0.631]","0.660 [0.636, 0.684]"
4,"0.308 [0.284, 0.332]","0.290 [0.267, 0.313]"
7,"0.515 [0.489, 0.541]","0.546 [0.521, 0.571]"
8,"0.340 [0.316, 0.364]","0.358 [0.333, 0.383]"
9,"0.509 [0.483, 0.535]","0.513 [0.487, 0.539]"
10,"0.527 [0.502, 0.552]","0.641 [0.616, 0.666]"
11,"0.140 [0.122, 0.158]","0.238 [0.216, 0.260]"
12,"0.569 [0.544, 0.594]","0.535 [0.509, 0.561]"
15,"0.464 [0.439, 0.489]","0.433 [0.408, 0.458]"
16,"0.555 [0.530, 0.580]","0.520 [0.494, 0.546]"
17,"0.355 [0.331, 0.379]","0.370 [0.345, 0.395]"
18,"0.511 [0.485, 0.537]","0.498 [0.472, 0.524]"
19,"0.440 [0.415, 0.465]","0.443 [0.418, 0.468]"
20,"0.663 [0.639, 0.687]","0.634 [0.609, 0.659]"
22,"0.566 [0.541, 0.591]","0.678 [0.654, 0.702]"
23,"0.282 [0.259, 0.305]","0.299 [0.276, 0.322]"
24,"0.491 [0.465, 0.517]","0.541 [0.515, 0.567]"
25,"0.697 [0.674, 0.720]","0.659 [0.635, 0.683]"
